iter	Passed	Remaining
0	0	81
1	1	72
2	2	66
3	2	60
4	3	60
5	3	59
6	4	57
7	4	57
8	5	56
9	6	56
10	6	56
11	7	55
12	8	56
13	9	55
14	9	54
15	10	53
16	10	53
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	48
23	14	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	43
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	40
36	23	40
37	24	39
38	25	39
39	26	39
40	27	38
41	27	37
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	55	8
87	56	7
88	56	7
89	57	6
90	58	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	62	0
99	63	0
