iter	Passed	Remaining
0	192	192443
1	203	101633
2	205	68257
3	206	51537
4	208	41503
5	210	34799
6	217	30860
7	224	27802
8	225	24865
9	234	23176
10	235	21168
11	237	19539
12	238	18120
13	240	16911
14	241	15877
15	245	15093
16	247	14290
17	248	13569
18	249	12907
19	251	12311
20	258	12072
21	260	11581
22	261	11125
23	263	10720
24	265	10336
25	266	9978
26	272	9836
27	274	9532
28	275	9238
29	277	8974
30	279	8721
31	280	8487
32	282	8264
33	290	8240
34	291	8033
35	341	9147
36	347	9041
37	349	8856
38	351	8666
39	352	8470
40	355	8308
41	359	8209
42	363	8090
43	374	8130
44	376	7998
45	378	7841
46	379	7692
47	380	7547
48	381	7409
49	383	7277
50	386	7184
51	390	7112
52	391	6993
53	392	6878
54	393	6768
55	395	6660
56	396	6556
57	397	6457
58	399	6371
59	401	6296
60	403	6214
61	408	6186
62	410	6106
63	414	6058
64	416	5993
65	419	5931
66	420	5860
67	423	5797
68	424	5725
69	425	5655
70	431	5652
71	435	5612
72	436	5546
73	438	5481
74	439	5417
75	440	5356
76	441	5295
77	443	5238
78	449	5236
79	454	5223
80	455	5170
81	457	5117
82	457	5058
83	459	5008
84	463	4987
85	464	4939
86	467	4906
87	468	4858
88	470	4811
89	471	4765
90	472	4722
91	477	4712
92	480	4681
93	481	4637
94	482	4594
95	485	4567
96	488	4544
97	498	4588
98	501	4566
99	503	4529
100	514	4581
101	516	4543
102	517	4506
103	518	4471
104	520	4437
105	527	4451
106	529	4423
107	533	4404
108	564	4611
109	565	4576
110	567	4542
111	568	4509
112	570	4475
113	577	4490
114	579	4457
115	583	4446
116	584	4412
117	596	4460
118	598	4428
119	599	4396
120	600	4364
121	611	4398
122	613	4371
123	614	4342
124	630	4412
125	634	4401
126	644	4429
127	645	4399
128	648	4381
129	653	4373
130	654	4344
131	658	4331
132	659	4301
133	661	4274
134	674	4322
135	675	4294
136	677	4266
137	678	4238
138	689	4270
139	690	4244
140	692	4217
141	693	4187
142	694	4161
143	699	4160
144	706	4167
145	708	4142
146	710	4125
147	722	4162
148	736	4208
149	741	4200
150	753	4237
151	755	4213
152	756	4188
153	763	4193
154	765	4174
155	768	4158
156	770	4136
157	771	4112
158	777	4113
159	781	4102
160	782	4077
161	784	4060
162	786	4039
163	795	4054
164	796	4032
165	799	4018
166	801	3999
167	806	3994
168	813	3998
169	815	3981
170	817	3963
171	824	3969
172	829	3964
173	832	3952
174	841	3968
175	844	3954
176	846	3934
177	848	3919
178	856	3930
179	859	3913
180	861	3896
181	863	3878
182	864	3859
183	875	3882
184	876	3862
185	878	3842
186	879	3823
187	884	3821
188	889	3814
189	891	3799
190	893	3782
191	894	3765
192	910	3805
193	911	3786
194	919	3796
195	921	3779
196	922	3761
197	924	3743
198	925	3725
199	927	3711
200	935	3718
201	939	3710
202	940	3693
203	941	3675
204	958	3715
205	973	3752
206	980	3755
207	984	3747
208	986	3733
209	990	3725
210	998	3733
211	1001	3721
212	1002	3704
213	1003	3686
214	1004	3668
215	1005	3650
216	1010	3647
217	1012	3633
218	1013	3615
219	1014	3597
220	1015	3579
221	1016	3561
222	1017	3543
223	1017	3526
224	1018	3508
225	1019	3491
226	1020	3474
227	1021	3458
228	1028	3463
229	1029	3447
230	1030	3431
231	1031	3415
232	1033	3401
233	1034	3385
234	1035	3369
235	1035	3353
236	1036	3337
237	1043	3341
238	1044	3325
239	1045	3309
240	1045	3294
241	1046	3278
242	1047	3262
243	1048	3247
244	1048	3232
245	1049	3217
246	1050	3202
247	1078	3268
248	1083	3268
249	1092	3276
250	1094	3265
251	1096	3253
252	1097	3240
253	1098	3226
254	1099	3213
255	1107	3218
256	1110	3211
257	1111	3198
258	1113	3185
259	1114	3172
260	1115	3159
261	1122	3162
262	1124	3150
263	1125	3137
264	1126	3124
265	1127	3112
266	1129	3100
267	1130	3087
268	1135	3085
269	1136	3073
270	1138	3062
271	1139	3050
272	1140	3037
273	1141	3025
274	1142	3013
275	1143	3000
276	1144	2987
277	1145	2975
278	1148	2968
279	1152	2962
280	1153	2950
281	1153	2937
282	1158	2936
283	1160	2925
284	1169	2935
285	1170	2923
286	1171	2910
287	1172	2898
288	1172	2885
289	1173	2873
290	1174	2861
291	1182	2867
292	1183	2856
293	1185	2846
294	1186	2835
295	1187	2825
296	1189	2814
297	1190	2804
298	1191	2794
299	1235	2882
300	1267	2942
301	1269	2933
302	1271	2924
303	1281	2933
304	1285	2930
305	1287	2919
306	1297	2927
307	1298	2917
308	1299	2906
309	1301	2897
310	1304	2889
311	1310	2889
312	1311	2878
313	1312	2868
314	1314	2859
315	1316	2849
316	1317	2839
317	1319	2829
318	1328	2835
319	1329	2826
320	1332	2818
321	1333	2808
322	1334	2797
323	1343	2802
324	1344	2791
325	1345	2781
326	1346	2770
327	1346	2759
328	1347	2748
329	1348	2737
330	1349	2727
331	1350	2717
332	1361	2728
333	1363	2718
334	1364	2709
335	1365	2699
336	1371	2697
337	1373	2689
338	1374	2679
339	1375	2669
340	1375	2658
341	1376	2648
342	1377	2639
343	1378	2628
344	1379	2618
345	1380	2608
346	1380	2598
347	1381	2588
348	1382	2578
349	1383	2568
350	1383	2558
351	1384	2548
352	1385	2538
353	1385	2528
354	1386	2518
355	1386	2509
356	1387	2499
357	1390	2493
358	1391	2484
359	1392	2475
360	1392	2465
361	1393	2456
362	1394	2446
363	1394	2437
364	1395	2427
